
 OVO Algorithm for Measles

 Number of outliers:  1
 -------------------------------------------------------------------
 Iterations  Inter. Iter.  Objective func.  Optimality cond.  Idelta
 Iterations  Inter. Iter.  Objective func.  Optimality cond.  Idelta
 -------------------------------------------------------------------
     0             -        1.166663E-01            -            3
     1             1        1.166646E-01      9.904496E-04       3
 -------------------------------------------------------------------

 Number of outliers:  3
 -------------------------------------------------------------------
 Iterations  Inter. Iter.  Objective func.  Optimality cond.  Idelta
 -------------------------------------------------------------------
     0             -        1.163123E-01            -            1
     1            16        1.160254E-01      7.345496E+00       1
     2            16        1.157867E-01      5.045852E+00       1
     3            18        1.155303E-01      7.344342E+00       1
     4            19        1.155147E-01      5.025270E+00       2
     5            13        1.155140E-01      4.000661E-01       2
     6             9        1.146867E-01      5.795753E-01       2
     7            19        1.145704E-01      7.820065E+00       1
     8            21        1.145494E-01      1.293564E+01       1
     9            21        1.145068E-01      7.819679E+00       1
    10            14        1.144747E-01      5.121527E-01       2
    11             2        1.143898E-01      1.555639E-02       3
    12             2        1.143239E-01      1.421905E-02       3
    13            19        1.142775E-01      3.488234E+00       2
    14            16        1.142598E-01      7.611596E-01       2
    15             2        1.142111E-01      1.310224E-02       3
    16             2        1.141682E-01      1.215234E-02       3
    17            19        1.141418E-01      3.453980E+00       2
    18            15        1.141095E-01      7.273720E-01       2
    19             2        1.140523E-01      1.133994E-02       3
    20             2        1.140182E-01      1.062819E-02       3
    21             2        1.139875E-01      1.000301E-02       3
    22             2        1.139596E-01      9.449283E-03       3
    23            19        1.139305E-01      3.408815E+00       2
    24            14        1.139258E-01      6.765157E-01       2
    25             2        1.138963E-01      8.964277E-03       3
    26             2        1.138695E-01      8.519858E-03       3
    27             2        1.138451E-01      8.118538E-03       3
    28            19        1.138326E-01      3.384831E+00       2
    29            15        1.138070E-01      6.475978E-01       2
    30             1        1.137428E-01      7.756635E-03       3
    31             1        1.137171E-01      7.105710E-03       3
    32             1        1.136948E-01      6.558913E-03       3
    33            19        1.136721E-01      3.355731E+00       2
    34            15        1.136499E-01      6.035046E-01       2
    35             1        1.135947E-01      6.094180E-03       3
    36             1        1.135754E-01      5.691584E-03       3
    37             2        1.135653E-01      5.340350E-03       3
    38             2        1.135558E-01      5.183486E-03       3
    39             2        1.135467E-01      5.035768E-03       3
    40             2        1.135382E-01      4.896411E-03       3
    41             2        1.135300E-01      4.764717E-03       3
    42             2        1.135259E-01      3.354051E-03       4
    43             2        1.135220E-01      3.291875E-03       4
    44             2        1.135182E-01      3.232008E-03       4
    45             2        1.135145E-01      3.174322E-03       4
    46             2        1.135109E-01      3.118699E-03       4
    47             2        1.135074E-01      3.065030E-03       4
    48             2        1.135041E-01      3.013212E-03       4
    49             2        1.135008E-01      2.963150E-03       4
    50             2        1.134977E-01      2.914756E-03       4
    51             2        1.134946E-01      2.867948E-03       4
    52             2        1.134917E-01      2.822648E-03       4
    53             2        1.134888E-01      2.778784E-03       4
    54             2        1.134860E-01      2.736288E-03       4
    55             1        1.134823E-01      2.695096E-03       3
    56             1        1.134789E-01      2.615781E-03       3
    57            19        1.134723E-01      3.314318E+00       2
    58            13        1.134067E-01      5.184502E-01       2
    59             1        1.133976E-01      2.544765E-03       4
    60             1        1.133923E-01      2.474133E-03       4
    61             1        1.133888E-01      2.407400E-03       4
    62             1        1.133854E-01      2.344247E-03       4
    63             1        1.133822E-01      2.284393E-03       4
    64             1        1.133792E-01      2.227582E-03       4
    65             1        1.133763E-01      2.173587E-03       4
    66             1        1.133735E-01      2.122201E-03       4
    67             1        1.133708E-01      2.073239E-03       4
    68             1        1.133682E-01      2.026530E-03       4
    69             1        1.133658E-01      1.981922E-03       4
    70             1        1.133634E-01      1.939275E-03       4
    71             1        1.133611E-01      1.898462E-03       4
    72             1        1.133589E-01      1.859365E-03       4
    73             1        1.133568E-01      1.821878E-03       3
    74             1        1.133547E-01      1.785902E-03       3
    75             1        1.133528E-01      1.751347E-03       3
    76             1        1.133509E-01      1.718130E-03       3
    77             1        1.133490E-01      1.686174E-03       3
    78             1        1.133472E-01      1.655408E-03       3
    79             1        1.133455E-01      1.625766E-03       3
    80             1        1.133438E-01      1.597188E-03       3
    81             1        1.133422E-01      1.569616E-03       3
    82             1        1.133407E-01      1.542998E-03       3
    83             1        1.133392E-01      1.517286E-03       3
    84             1        1.133377E-01      1.492432E-03       3
    85             1        1.133363E-01      1.468395E-03       3
    86             1        1.133349E-01      1.445134E-03       3
    87             1        1.133335E-01      1.422613E-03       3
    88             1        1.133322E-01      1.400796E-03       3
    89             1        1.133309E-01      1.379651E-03       3
    90             1        1.133297E-01      1.359147E-03       3
